"site" "deployment_id" "filename" "label" "confidence" "site.id" "day.id" "image.id" "obs.class"
"CT-5B" "CT-5B_April28-May30" "RCNX0518.JPG" "deer" 9.31561088358338 14 1 6 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0518.JPG" "deer" 8.3346316058176 14 1 6 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0524.JPG" "deer" 8.94784609905824 14 1 7 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0632.JPG" "deer" 8.46819300519351 14 4 1 NA
"CT-5B" "CT-5B_April28-May30" "RCNX0635.JPG" "deer" 2.33855240373786 14 4 2 0
"CT-5B" "CT-5B_April28-May30" "RCNX0635.JPG" "deer" 8.37720122258723 14 4 2 0
"CT-5B" "CT-5B_April28-May30" "RCNX1445.JPG" "deer" 6.93724401571237 14 8 1 NA
"CT-5B" "CT-5B_April28-May30" "RCNX2045.JPG" "deer" 8.29379960884693 14 9 1 1
"CT-5B" "CT-5B_April28-May30" "RCNX2045.JPG" "deer" 8.42166298740837 14 9 1 1
"CT-5B" "CT-5B_April28-May30" "RCNX2648.JPG" "deer" 3.48195671534689 14 10 1 NA
"CT-5B" "CT-5B_April28-May30" "RCNX2648.JPG" "deer" 9.43340392009061 14 10 1 NA
"CT-5B" "CT-5B_April28-May30" "RCNX2651.JPG" "deer" 7.14268730028882 14 10 2 NA
"CT-5B" "CT-5B_April28-May30" "RCNX2654.JPG" "deer" 8.87372812555385 14 10 3 NA
"CT-5B" "CT-5B_April28-May30" "RCNX2657.JPG" "deer" 5.61765468508877 14 10 4 1
"CT-6A" "CT-6A_April28-June13" "RCNX0161.JPG" "deer" 1.52790784006805 16 1 3 NA
"CT-6A" "CT-6A_April28-June13" "RCNX0203.JPG" "deer" 7.68382396264864 16 4 1 1
"CT-6A" "CT-6A_April28-June13" "RCNX0266.JPG" "deer" 8.62237369087235 16 6 1 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0011.JPG" "deer" 7.98622488254094 19 2 1 1
"CT-7A" "CT-7A_May17-June13" "RCNX0014.JPG" "deer" 7.95722734221663 19 2 2 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0017.JPG" "deer" 6.15421693991711 19 2 3 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0020.JPG" "deer" 8.18044091558789 19 3 1 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0023.JPG" "deer" 8.94784609905824 19 3 2 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0026.JPG" "deer" 7.98622488254094 19 4 1 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0026.JPG" "deer" 9.11492018612092 19 4 1 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0029.JPG" "deer" 7.5421034109184 19 4 2 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0032.JPG" "deer" 7.24953533575956 19 10 1 1
"CT-7A" "CT-7A_May17-June13" "RCNX0035.JPG" "deer" 6.90675477864855 19 10 2 1
"CT-7A" "CT-7A_May17-June13" "RCNX0038.JPG" "deer" 8.46819300519351 19 14 1 1
"CT-7A" "CT-7A_May17-June13" "RCNX0041.JPG" "deer" 9.21024036697596 19 14 2 NA
"CT-7A" "CT-7A_May17-June13" "RCNX0044.JPG" "deer" 8.74017672992878 19 14 3 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0143.JPG" "deer" 8.87372812555385 20 1 1 NA
"CT-7B" "CT-7B_May17-June13" "RCNX0146.JPG" "deer" 6.97939553909868 20 1 2 1
"CT-7B" "CT-7B_May17-June13" "RCNX0158.JPG" "deer" 8.3346316058176 20 2 2 1
"CT-7B" "CT-7B_May17-June13" "RCNX0170.JPG" "deer" 8.62237369087235 20 3 3 NA
